station_id,name,var_id,timestamp,value,flag
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 09:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 09:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 09:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 09:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 09:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 09:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 10:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 11:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 12:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 13:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 14:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 15:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 16:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 17:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 18:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:25:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 19:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:30:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:35:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:40:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:45:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:50:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 20:55:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 21:00:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 21:05:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 21:10:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 21:15:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-06 21:20:00+00,7999,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 20:30:00+00,1.126,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 20:35:00+00,0.531,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 20:40:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 20:45:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 20:55:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:00:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:05:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:10:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:15:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:20:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:25:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:30:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:35:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:40:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:45:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:50:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 21:55:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:00:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:05:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:10:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:15:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:20:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:25:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:30:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:35:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:40:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:45:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:50:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 22:55:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:00:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:05:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:10:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:15:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:20:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:25:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:30:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:35:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:40:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:45:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:50:00+00,0,0
0115,Piʻiholo,RF_1_Tot300s,2023-03-07 23:55:00+00,0,0
